time,height
1.74,0.0
2.039,0.0
2.0489998,0.0
2.0809999,0.0
2.112,0.0
2.144,0.0
2.177,0.0
2.2129998,0.0
2.2470002,0.0
2.271,0.0
2.3060002,0.0
2.335,0.0
2.3720002,0.0
2.402,0.0
2.428,0.0
2.4640002,0.0
2.4899998,0.0
2.5219998,0.0
2.553,0.0
2.585,0.0
2.6149998,0.0
2.65,0.0
2.6820002,0.0
2.7129998,0.0
2.743,0.0
2.7729998,0.0
2.803,0.0
2.835,0.0
2.8709998,0.0
2.9029999,0.0
2.9310002,0.0
2.962,0.0
2.994,0.0
3.0289998,0.0
3.0609999,0.0
3.091,0.0
3.124,0.0
3.151,0.0
3.1810002,0.0
3.212,0.0
3.2470002,0.0
3.2789998,0.0
3.31,0.0
3.342,0.0
3.376,0.0
3.401,0.0
3.4390001,0.0
3.4689999,0.0
3.495,0.0
3.527,0.0
3.5619998,0.0
3.592,0.0
3.6209998,0.0
3.6529999,0.0
3.69,0.0
3.7220001,0.0
3.7529998,0.0
3.7849998,0.0
3.815,0.0
3.8470001,0.0
3.8779998,0.0
3.9109998,0.0
3.94,0.0
3.9710002,0.0
4.002,0.0
4.033,0.0
4.063,0.0
4.098,0.0
4.13,0.0
4.164,0.0
4.194,0.0
4.221,0.0
4.257,0.0
4.292,0.0
4.316,0.0
4.346,0.0
4.384,0.0
4.413,0.0
4.443,0.0
4.48,0.0
4.505,0.0
4.54,0.0
4.572,0.0
4.606,0.0
4.638,0.0
4.664,0.0
4.696,0.0
4.727,0.0
4.765,0.0
4.797,0.0
4.828,-1.69
4.853,-1.48
4.884,-1.2
4.921,-0.85
4.951,-0.44
4.985,0.09
5.016,0.49
5.046,0.86
5.075,1.16
5.107,1.39
5.143,1.52
5.177,1.57
5.207,1.53
5.236,1.32
5.263,1.1
5.295,0.82
5.326,0.47
5.359,0.11
5.391,-0.19
5.423,-0.53
5.454,-0.82
5.486,-1.12
5.518,-1.27
5.555,-1.33
5.58,-1.31
5.62,-1.22
5.652,-1.08
5.687,-0.84
5.712,-0.56
5.741,-0.16
5.818,0.42
5.825,0.69
5.852,0.91
5.884,1.06
5.923,1.15
5.952,1.16
5.979,1.07
6.01,0.94
6.045,0.72
6.076,0.49
6.106,0.23
6.142,-0.06
6.174,-0.32
6.215,-0.58
6.231,-0.84
6.2629995,-0.98
6.293,-1.07
6.3240004,-1.09
6.356,-1.05
6.389,-0.93
6.4919996,-0.24
6.5220003,0.02
6.5530005,0.27
6.602,0.51
6.6190004,0.73
6.649,0.9
6.682,1.02
6.71,1.08
6.7460003,1.05
6.776,0.96
6.807,0.81
6.8380003,0.62
6.877,0.39
6.906,0.15
6.9379997,-0.08
6.967,-0.35
7.0010004,-0.66
7.0319996,-0.84
7.064,-0.97
7.0959997,-1.05
7.125,-1.07
7.151,-1.03
7.182,-0.94
7.215,-0.79
7.2469997,-0.55
7.283,-0.32
7.316,-0.09
7.34,0.14
7.373,0.36
7.4090004,0.55
7.443,0.74
7.465,0.87
7.4960003,0.98
