time,height
2.224,0.0
2.56,0.0
2.5970001,0.0
2.6269999,0.0
2.6539998,0.0
2.6890001,0.0
2.7189999,0.0
2.749,0.0
2.7810001,0.0
2.8140001,0.0
2.8470001,0.0
2.8709998,0.0
2.9029999,0.0
2.933,0.0
2.9650002,0.0
2.999,0.0
3.0300002,0.0
3.0630002,0.0
3.098,0.0
3.125,0.0
3.157,0.0
3.1950002,0.0
3.2259998,0.0
3.2540002,0.0
3.2849998,0.0
3.315,0.0
3.3470001,0.0
3.3779998,0.0
3.4099998,0.0
3.441,0.0
3.473,0.0
3.5040002,0.0
3.534,0.0
3.5679998,0.0
3.598,0.0
3.63,0.0
3.6609998,0.0
3.6939998,0.0
3.73,0.0
3.756,0.0
3.7870002,0.0
3.8200002,0.0
3.85,0.0
3.881,0.0
3.914,0.0
3.948,0.0
3.981,0.0
4.008,0.0
4.043,1.89
4.072,0.99
4.107,-0.24
4.136,-1.18
4.168,-2.07
4.198,-2.88
4.23,-3.6
4.262,-4.18
4.293,-4.61
4.324,-4.89
4.356,-4.99
4.387,-4.87
4.419,-4.59
4.45,-4.13
4.483,-3.56
4.513,-2.83
4.544,-2.04
4.577,-1.15
4.607,0.05
4.638,0.99
4.669,1.86
4.702,2.7
4.733,3.41
4.764,4.04
4.802,4.5
4.831,4.83
4.861,4.99
4.891,4.92
4.924,4.68
4.96,4.27
4.989,3.73
5.02,3.04
5.05,2.25
5.081,1.37
5.113,0.13
5.145,-0.8
5.179,-1.71
5.209,-2.56
5.241,-3.32
5.271,-3.94
5.303,-4.45
5.335,-4.78
5.366,-4.99
5.397,-4.94
5.429,-4.72
5.461,-4.35
5.492,-3.82
5.525,-3.17
5.561,-2.39
5.588,-1.55
5.618,-0.32
5.65,0.58
5.682,1.5
5.714,2.33
5.745,3.12
5.777,3.78
5.808,4.32
5.84,4.7
5.873,4.97
5.904,4.97
5.935,4.8
5.966,4.47
5.997,3.98
6.0299997,3.36
6.061,2.61
6.0930004,1.77
6.1239996,0.55
6.1549997,-0.38
6.1870003,-1.31
6.2180004,-2.19
6.2489996,-2.99
6.281,-3.69
6.332,-4.66
6.3450003,-4.66
6.377,-4.96
6.408,-4.98
6.441,-4.84
6.472,-4.53
6.5030003,-4.07
6.538,-3.46
6.5690002,-1.92
6.5979996,-1.92
6.6309996,0.19
6.6610003,1.09
6.6920004,1.09
6.724,2.78
6.7559996,3.51
6.788,4.1
6.8199997,4.56
6.852,4.92
6.884,4.99
6.929,4.9
7.005,3.64
7.0439997,3.64
7.068,2.93
7.099,0.93
7.1309996,0.93
7.163,-0.93
7.1949997,-1.84
7.2299995,-2.68
7.26,-3.4
7.2910004,-4.02
7.3219995,-4.49
7.354,-4.89
7.385,-4.99
7.417,-4.92
7.4490004,-4.69
7.481,-4.28
7.5129995,-3.75
7.5439997,-3.06
7.576,-2.29
7.6070004,-1.12
7.639,-0.22
7.672,0.71
7.7040005,1.6
7.736,2.46
7.767,3.2
7.8,3.87
7.833,4.37
7.8640003,4.84
7.898,4.98
7.9280005,4.96
7.9610004,4.77
7.9919996,4.41
8.025,3.91
8.057,3.26
8.089,2.49
8.12,1.34
8.151,0.41
8.182,-0.52
8.213,-1.44
8.249,-2.32
