time,height
1.8180001,0.0
2.1750002,0.0
2.2199998,0.0
2.295,0.0
2.3449998,0.0
2.409,0.0
2.4699998,0.0
2.5430002,0.0
2.6,0.0
2.657,0.0
2.7220001,0.0
2.782,0.0
2.854,0.0
2.915,0.0
2.9710002,0.0
3.0430002,0.0
3.1030002,0.0
3.1669998,0.0
3.2399998,0.0
3.288,0.0
3.354,-0.6717395
3.407,-2.5511127
3.475,-2.4574192
3.534,-0.2360045
3.6030002,2.3093443
3.664,2.8779938
3.724,0.979149
3.782,-1.679277
3.8470001,-2.7910228
3.908,-1.4211124
3.974,1.009005
4.039,2.209423
4.097,1.3919005
4.154,-0.37533265
4.225,-1.3720444
4.291,-0.87213516
4.359,0.16900155
4.408,0.5294476
4.467,0.14675361
4.539,-0.2164901
4.598,0.09707773
4.656,0.6260513
4.724,0.51904076
4.79,-0.45318925
4.85,-1.1747907
4.91,-0.8677578
4.971,0.34051567
5.042,1.369682
5.103,1.0686536
5.167,-0.25292447
5.227,-1.1471035
5.295,-0.86673987
5.345,0.051581413
5.406,0.7386311
5.47,0.47115618
5.54,-0.27562717
5.603,-0.3970108
5.664,0.19873497
5.724,0.6544777
5.805,0.22383887
5.842,-0.6902153
5.912,-1.1597985
5.967,-0.3756336
6.042,1.1757897
6.0979996,1.5974547
6.1540003,0.5013704
6.224,-1.3394294
6.2910004,-1.832336
6.347,-0.5567642
6.4139996,1.4608182
6.4890003,2.0004373
6.5319996,0.6362627
6.648,-2.0871973
6.715,-0.9008662
6.781,1.1895666
6.842,1.9244654
6.9090004,0.82134736
6.965,-0.78860825
7.0220003,-1.4811475
7.083,-0.743809
7.1470003,0.43896157
7.2180004,0.7361217
7.2860003,0.12983185
7.3430004,-0.20938218
7.408,0.1724603
7.4610004,0.5723259
7.5249996,0.1821068
7.5930004,-0.955757
7.66,-1.4092255
7.7180004,-0.33662838
7.7860003,1.6922516
7.842,2.15681
7.9069996,0.41377765
7.9630003,-1.9007375
8.026,-2.621144
8.093,-0.63626456
8.157,2.2281594
8.218,2.784839
8.283,0.43479803
8.342,-2.3021708
8.429,-2.0590465
8.469,-0.252892
8.523,2.3892817
8.593,2.457189
8.65,-0.10060084
8.717,-2.5795407
8.784,-2.06951
8.842,0.5945781
8.908,2.6630588
8.968,1.7720509
9.026,-0.86204755
9.087,-2.4704628
9.158,-1.3378782
9.221,0.9871234
9.273,2.0223246
9.336,0.8835666
9.411,-0.9967322
9.472,-1.2474258
9.532,-0.012360632
9.591,0.8656476
9.717,-0.8529997
9.724,-0.9130198
9.782,-0.6644397
9.856,0.9324533
9.915,1.6150252
9.97,0.418176
10.04,-1.6918416
10.095,-2.1019962
10.165,-0.028207242
10.229,2.363771
10.291,2.1980999
10.344,-0.46333826
10.408,-2.8421743
10.467,-2.0598009
10.536,1.417112
10.594,3.417415
10.666,1.5007963
10.719,-2.4145935
10.809,-3.929664
10.852,-0.78198415
10.915,3.417273
10.978,4.24229
11.028,0.7201343
11.097,-4.1107397
11.158,-4.417919
11.214,-0.10653025
11.288,4.5973377
11.351,3.909618
11.41,-1.1765178
11.476,-5.153163
11.539,-3.5265923
11.61,2.3653355
11.66,5.516797
11.72,2.943156
11.786,-3.1847608
11.851,-5.9443865
11.911,-2.452605
11.975,3.9522007
12.037,6.2396398
12.092,2.3767576
12.16,-4.0256767
12.218,-6.1285567
12.274,-2.5453227
12.351,3.817007
12.413,5.446779
12.475,1.7328707
12.535,-2.9890041
12.603,-4.253597
12.653,-1.4390905
12.725,2.5131626
12.789,3.1700182
12.843,0.6442827
12.912,-1.9984343
12.995,-2.0243444
13.033,-0.13873112
13.102,1.6925355
13.162,1.3612375
13.217,-0.2718926
13.287,-1.328614
13.35,-0.8699788
13.408,0.26621526
13.476,0.9433898
13.536,0.64932764
13.603,-0.087589055
13.653,-0.50982296
13.723,-0.491908
13.789,-0.21304011
13.851,0.19555414
13.911,0.4866215
13.976,0.447549
14.035999,-0.037351727
14.101,-0.6358064
14.153999,-0.66888076
14.219,0.07249153
14.285999,0.89915854
14.355,0.73829865
14.41,-0.29419458
14.475,-1.2723688
14.528,-0.9023339
