timeStamp,UIWaveMakerMode,UIWaveMakerPos,UIWaveMakerHeight,UIWaveMakerFrequency,UIWaveMakerSigH,UIWaveMakerPeakF,UIWaveMakergamma,UIWecMode,UIWecTorque,UIWeckP,UIWeckD,UIWecSigH,UIWecPeakF,UIWecgamma,probe1,probe2,waveMakerPos,waveMakerDebugData,wecPos,wecTau,wecPower,wecVel
21483,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002217857,0.18596251,-1.8749999E-5,0.0,0.0,3.4983215E-5,-0.0,0.0
21610,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008389286,0.18678215,-1.8749999E-5,0.0,0.0,1.2593832E-5,0.0,0.0
21679,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4464287E-4,0.19039823,-1.8749999E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
21711,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016392858,0.19502679,-1.8749999E-5,0.0,0.0,1.5393009E-5,-0.0,0.0
21741,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.3392862E-4,0.18760177,-1.8749999E-5,0.0,0.0,-4.1980934E-6,-0.0,0.0
21773,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.8214664E-5,0.18769823,-1.8749999E-5,0.0,0.0,-4.1980934E-6,-0.0,0.0
21804,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0020732146,0.18557678,-1.8749999E-5,0.0,0.0,1.3993645E-6,0.0,0.0
21836,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002169643,0.18533573,-1.8749999E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
21868,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0020732146,0.18576966,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
21900,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002169643,0.18581787,-1.8749999E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
21932,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.18581787,-1.8749999E-5,0.0,0.0,9.795103E-6,-0.0,0.0
21965,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4464285E-4,0.18586607,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
21996,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.910383E-11,0.18576965,-1.8749999E-5,0.0,0.0,1.3993645E-6,-0.0,0.0
22028,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.8214315E-5,0.1859143,-1.8749999E-5,0.0,0.0,5.737215E-5,-0.0,0.0
22060,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.8571432E-4,0.1859143,-1.8749999E-5,0.0,0.0,1.3993645E-6,-0.0,0.0
22092,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.8214275E-5,0.18591428,-1.8749999E-5,0.0,0.0,2.0990019E-5,-0.0,0.0
22124,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.4107141E-4,0.18581787,-1.8749999E-5,0.0,0.0,4.0580224E-5,-0.0,0.0
22156,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.821429E-4,0.1860107,-1.8749999E-5,0.0,0.0,1.5393009E-5,-0.0,0.0
22187,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.821429E-4,0.18605892,-1.8749999E-5,0.0,0.0,9.795103E-6,-0.0,0.0
22221,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.1859625,-1.8749999E-5,0.0,0.0,2.0990019E-5,-0.0,0.0
22251,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.18586607,-1.8749999E-5,0.0,0.0,2.37883E-5,-0.0,0.0
22283,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4464287E-4,0.18596251,-1.8749999E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
22315,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4464287E-4,0.18610716,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
22347,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.18615536,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
22379,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-8.6785713E-4,0.18620358,-1.8749999E-5,0.0,0.0,2.0990019E-5,-0.0,0.0
22411,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-8.1964285E-4,0.18625179,-1.8749999E-5,0.0,0.0,3.2184485E-5,-0.0,0.0
22443,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-7.2321424E-4,0.18639645,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
22475,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.8214284E-4,0.18639643,-1.8749999E-5,0.0,0.0,3.4983215E-5,-0.0,0.0
22507,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.4107142E-4,0.18634823,-1.8749999E-5,0.0,0.0,2.37883E-5,-0.0,0.0
22539,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.18620358,-1.8749999E-5,0.0,0.0,4.8976413E-5,-0.0,0.0
22571,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.18630001,-1.8749999E-5,0.0,0.0,1.3993645E-6,-0.0,0.0
22603,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013017857,0.1866375,-1.8749999E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
22635,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011089286,0.18673392,-1.8749999E-5,0.0,0.0,2.6587477E-5,-0.0,0.0
22672,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-7.232143E-4,0.18634823,-1.8749999E-5,0.0,0.0,-2.3788747E-5,-0.0,0.0
22703,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-7.714286E-4,0.18726428,-1.8749999E-5,0.0,0.0,2.37883E-5,0.0,0.0
22735,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-8.6785713E-4,0.18740894,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
22781,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-8.1964285E-4,0.18750536,-1.8749999E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
22812,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-5.7857146E-4,0.18760179,-1.8749999E-5,0.0,0.0,1.5393009E-5,-0.0,0.0
22842,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-8.196429E-4,0.18784288,-1.8749999E-5,0.0,0.0,6.0170878E-5,-0.0,0.0
22874,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-5.7857146E-4,0.18765001,-1.8749999E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
22905,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.642856E-5,0.18711965,-1.8749999E-5,0.0,0.0,6.856662E-5,-0.0,0.0
22937,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.821427E-5,0.18938573,-1.8749999E-5,0.0,0.0,5.457387E-5,-0.0,0.0
22969,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.642856E-5,0.1903018,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
23000,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.642856E-5,0.18957858,-1.8749999E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
23032,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.642856E-5,0.18919286,-1.8749999E-5,0.0,0.0,-2.3788747E-5,-0.0,0.0
23062,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.8928573E-4,0.18909642,-1.8749999E-5,0.0,0.0,1.3993645E-6,0.0,0.0
23093,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.160714E-4,0.18769822,-1.8749999E-5,0.0,0.0,-4.1980934E-6,-0.0,0.0
23124,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.303571E-4,0.18740892,-1.8749999E-5,0.0,0.0,1.5393009E-5,0.0,0.0
23155,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.160715E-4,0.1869268,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
23187,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.75E-4,0.1869268,-1.8749999E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
23217,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0010125,0.18716785,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
23248,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.160714E-4,0.18446787,-1.8749999E-5,0.0,0.0,6.0170878E-5,-0.0,0.0
23281,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00135,0.18379286,-1.8749999E-5,0.0,0.0,-2.6587028E-5,-0.0,0.0
23311,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0013982144,0.18345536,-1.8749999E-5,0.0,0.0,1.2593832E-5,0.0,0.0
23343,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00135,0.18374464,-1.8749999E-5,0.0,0.0,4.33794E-5,-0.0,0.0
23374,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0012053571,0.18384108,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
23405,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3749995E-4,0.18509464,-1.8749999E-5,0.0,0.0,-9.795103E-6,-0.0,0.0
23438,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.857143E-4,0.1852875,-1.8749999E-5,0.0,0.0,3.4983215E-5,0.0,0.0
23469,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.4107141E-4,0.18567322,-1.8749999E-5,0.0,0.0,2.0990019E-5,-0.0,0.0
23500,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.8214284E-4,0.18581787,-1.8749999E-5,0.0,0.0,-1.2594281E-5,-0.0,0.0
23532,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.8214286E-5,0.18572143,-1.8749999E-5,0.0,0.0,6.9968223E-6,0.0,0.0
23562,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.821429E-5,0.18591431,-1.8749999E-5,0.0,0.0,3.4983215E-5,-0.0,0.0
23593,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013017857,0.18572143,-1.8749999E-5,0.0,0.0,6.296961E-5,-0.0,0.0
23625,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012535715,0.18576965,-1.8749999E-5,0.0,0.0,-4.1980934E-6,-0.0,0.0
23657,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011571429,0.18572143,-1.8749999E-5,0.0,0.0,2.37883E-5,0.0,0.0
23689,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011571429,0.18557677,-1.8749999E-5,0.0,0.0,2.6587477E-5,-0.0,0.0
23721,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011089286,0.18543214,-1.8749999E-5,0.0,0.0,1.5393009E-5,-0.0,0.0
23753,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-9.642857E-4,0.18548036,-1.8749999E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
23784,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8928564E-4,0.1859625,-1.8749999E-5,0.0,0.0,1.819129E-5,-0.0,0.0
23814,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-6.267857E-4,0.18803571,-1.8749999E-5,0.0,0.0,4.8976413E-5,-0.0,0.0
23845,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-6.7499996E-4,0.18837321,-1.8749999E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
23876,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0010124998,0.18871072,-1.8749999E-5,0.0,0.0,9.795103E-6,-0.0,0.0
23907,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0019767857,0.18909642,-1.8749999E-5,0.0,0.0,2.6587477E-5,-0.0,0.0
23938,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0018803573,0.18900001,-1.8749999E-5,0.0,0.0,4.197645E-6,-0.0,0.0
23970,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0017839285,0.18890357,-1.8749999E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
24000,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0018321428,0.18895179,-1.8749999E-5,0.0,0.0,4.0580224E-5,-0.0,0.0
24032,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0018321428,0.18904822,-1.8749999E-5,0.0,0.0,6.0170878E-5,-0.0,0.0
24062,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0016874999,0.18899998,-1.8749999E-5,0.0,0.0,2.9385757E-5,-0.0,0.0
24093,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,9.6428563E-4,0.18856606,-1.8749999E-5,0.0,0.0,6.9968223E-6,-0.0,0.0
24124,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0013499999,0.18654107,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
24155,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0014464285,0.18615535,-1.8749999E-5,0.0,0.0,1.2593832E-5,-0.0,0.0
24188,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4464287E-4,0.18586607,-1.8749999E-5,0.0,0.0,1.3993645E-6,-0.0,0.0
24220,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.18678215,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
24251,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.1872643,-1.8749999E-5,0.0,0.0,3.7781945E-5,-0.0,0.0
24281,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-9.642857E-5,0.18745714,-1.8749999E-5,0.0,0.0,-4.1980934E-6,-0.0,0.0
24313,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,-4.8214286E-5,0.18750536,-1.8749999E-5,0.0,0.0,6.0170878E-5,0.0,0.0
