timeStamp,UIWaveMakerMode,UIWaveMakerPos,UIWaveMakerHeight,UIWaveMakerFrequency,UIWaveMakerSigH,UIWaveMakerPeakF,UIWaveMakergamma,UIWecMode,UIWecTorque,UIWeckP,UIWeckD,UIWecHeight,UIWecFrequency,UIWecSigH,UIWecPeakF,UIWecgamma,probe1,probe2,waveMakerPos,waveMakerDebugData,wecPos,wecTau,wecPower,wecVel
17668.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.7857146E-4,0.16436252,-0.0,0.0,-0.0014990235,0.0,0.0,-0.0014648424
18720.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.1646518,-0.0,0.0,-0.0016894533,0.0,0.0,-0.005859381
18783.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.16445896,-0.0,0.0,-0.00612793,0.0,0.0,-0.025878893
18813.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.16450715,-0.0,0.0,-0.0080664065,0.0,0.0,-0.008789077
18844.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.16455539,-0.0,0.0,-0.008637696,0.0,-0.0,0.0
18874.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.16436252,-0.0,0.0,-0.007768555,0.0,-0.0,0.005859416
18907.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.16465181,-0.0,0.0,-0.0052246097,0.0,-0.0,0.02392577
18936.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.375E-4,0.1649893,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.015625
18966.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.16474822,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
18995.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.1647,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19071.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.16474822,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19097.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.375E-4,0.16455537,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19121.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.8214284E-4,0.16455537,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19153.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.16474822,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19185.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.8214284E-4,0.1647,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19218.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.8214284E-4,0.1646518,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19245.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.8214284E-4,0.16460358,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19279.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.1646518,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19310.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.16484465,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19342.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.16479644,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19372.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.16474822,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19406.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.857143E-4,0.16465181,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19438.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.16455539,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19470.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.16445895,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19502.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.303571E-4,0.16445895,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19532.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.8214284E-4,0.16455537,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19564.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.1646518,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19596.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.1646518,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19628.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-4.3392857E-4,0.16455537,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19660.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-5.303572E-4,0.16450717,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19692.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.16441074,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19723.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-3.3750004E-4,0.16436252,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
19755.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-2.8928573E-4,0.16436252,-0.0,0.0,-3.0273438E-4,0.0,-0.0,0.0
